"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
1.718141,6.4635842,3.39551019642076,0.00284682791100992,0.0352382839713232,-1.71336762649125,"KIAA1755","Up"
1.7180859,11.6749179,5.64943414910721,1.52978726956118e-05,0.002970151519638,3.20071222614647,"NNMT","Up"
1.71741461,5.443582055,3.6582616501387,0.00154582468212799,0.0256719889084039,-1.14348481358373,"FAM167B","Up"
1.69985689,8.389397055,4.74705525234139,0.000120812470344632,0.00691547244478827,1.25481504440598,"DUXAP8","Up"
1.69478902,5.43795005,3.27964217213033,0.00371872900666108,0.0408333652417793,-1.96163019101855,"PCDHA10","Up"
1.69227527,5.288599965,4.39133283428181,0.000277282547780151,0.010397525757143,0.471420041754151,"ZNF22-AS1","Up"
1.68901160000001,9.7951962,6.14407929594259,5.10690863135702e-06,0.00211878455138428,4.22843306838132,"SNX10","Up"
1.6817218,10.6007469,5.94051000643583,7.99337737881791e-06,0.00236694072074716,3.80939140724516,"MEST","Up"
1.67649784,7.77723268,5.78344060767692,1.1332476289904e-05,0.00273217577937887,3.48228012714383,"TNFSF4","Up"
1.67139405,5.655982535,3.71579140884912,0.00135146837117146,0.0238934685456199,-1.01770757586731,"VMO1","Up"
1.67038151,7.940865695,3.68039392345569,0.00146798108337203,0.0249416642781037,-1.09513227785861,"CST4","Up"
1.66942069,9.394187505,5.69916353474287,1.36827317930596e-05,0.0028371077951881,3.30546139277793,"CHN1","Up"
1.66134296,9.1840723,3.56563339699711,0.00191834101539508,0.0283647205022355,-1.34532128327596,"NEK2","Up"
1.65818620000001,10.7246404,4.03083987304744,0.000645971206631853,0.0162441529269144,-0.324877237613079,"TNC","Up"
1.64351616,8.56846692,4.49384794948339,0.00021811822262007,0.00915196636639849,0.697670057721591,"CAP2","Up"
1.63721732,5.02149384,3.15151156698873,0.00498715963092889,0.0481949177546373,-2.23340982203254,"DGKI","Up"
1.63715662,5.94939764,3.15773064723445,0.00491688404917756,0.0478404977850957,-2.22029240184977,"DIPK1B","Up"
1.62026792,7.56554073,3.81086566590339,0.00108195482879238,0.021148446742883,-0.809253195458815,"BYSL","Up"
1.6107055,10.02260185,4.93530977335832,7.80578894319557e-05,0.00572936910470481,1.66670482956698,"FAM83D","Up"
1.6076009,10.0225191,5.99396655932987,7.1027314513126e-06,0.00229669542475141,3.91997663276407,"SLC39A10","Up"
1.59217565,10.678945825,3.20890708302817,0.00437401126791176,0.044954648050429,-2.11205506422629,"TOP2A","Up"
1.5908513,10.17401615,3.3530668050778,0.00314008948576205,0.0374337356578213,-1.80455887275265,"UBE2C","Up"
1.58858385,11.335616825,4.73007347558714,0.000125681932821178,0.00702256583535105,1.21754849131292,"CTSL","Up"
1.57738087,5.618233685,3.51784560881104,0.00214384542492636,0.02998435280953,-1.44908069106671,"PLEKHA4","Up"
1.57463335,11.546970075,5.22028855023067,4.05033759721165e-05,0.00421966146651947,2.28496357542487,"ANTXR1","Up"
1.57364975,9.614178375,3.96733689969625,0.00074976344801988,0.0173355604432299,-0.464935311683234,"FBXO32","Up"
1.56535525,11.259046975,3.82117483696034,0.00105614797114262,0.0209435025252487,-0.786610825666775,"TPM2","Up"
1.56495688,5.01409494,3.69619985899545,0.00141477489801743,0.0244316784943305,-1.06057360556065,"TRPC2","Up"
1.5622452,11.7354561,5.24018562702995,3.87000536129107e-05,0.00411202509955689,2.32785470102897,"THBS1","Up"
1.55827252,8.31524497,4.28272499255212,0.000357681558738899,0.0118434186821499,0.23150208876667,"NRP2","Up"
1.55566805,6.937254555,3.17346555910198,0.00474334937029647,0.0469291003509883,-2.18706880371024,"EVC","Up"
1.55269311,9.405770145,3.32076234253355,0.00338292841027535,0.0387395185298932,-1.87377576157725,"QPCT","Up"
1.54820586,6.99358291,4.00879502066189,0.000680268011795968,0.0167256370580426,-0.373513895234908,"CHSY3","Up"
1.5477366,9.92863215,4.1389042571458,0.000501257480874349,0.0141418177265964,-0.086275983573592,"GPX8","Up"
1.53724221,6.746736325,4.76823776754232,0.000115004892882675,0.00677700410314714,1.30127638184612,"MIR4435-2HG","Up"
1.52865935,12.078788075,4.24809480943674,0.000387951074088947,0.0125537440747237,0.1549808048239,"S100A4","Up"
1.52651190000001,12.55109005,5.40343518969592,2.66710378464388e-05,0.00356503655619601,2.67824631959079,"COL4A1","Up"
